Unnamed: 0,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,16534,Hitman (2016),XOne,2016.0,0.0,95,0.0,1.0,0.0,0.0,0.01
1,9997,Army Men: Soldiers of Misfortune,DS,2008.0,8.0,115,0.9958932064677039,0.0,0.0,0.09053574604251853,0.12
2,9462,Romance of the Three Kingdoms IV: Wall of Fire,PS,1995.0,11.0,105,0.7001400420140048,0.4200840252084029,0.5601120336112039,0.14002800840280097,0.13
3,1625,Castlevania,NES,1986.0,4.0,56,0.654990686776997,0.07277674297522188,0.7520263440772927,0.01212945716253698,1.23
4,7360,BloodRayne,XB,2002.0,8.0,108,0.952786134680662,0.2977456670877069,0.0,0.059549133417541374,0.21
5,10055,Taiko Drum Master: Tokumori!,WiiU,2014.0,3.0,69,0.0,0.0,1.0,0.0,0.11
6,3303,Cabela's Monster Buck Hunter,Wii,2010.0,10.0,4,0.9986649849421085,0.0,0.0,0.0516550854280401,0.61
7,11189,Rollcage Stage II,PS,2000.0,6.0,92,0.8451542547285166,0.50709255283711,0.0,0.1690308509457033,0.09
8,14633,Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006.0,11.0,20,0.0,0.0,1.0,0.0,0.03
9,2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009.0,0.0,57,0.8170594879790283,0.5570860145311556,0.0,0.1485562705416415,0.82
10,7956,Grand Slam Tennis 2,X360,2012.0,10.0,35,0.8084520834544432,0.5659164584181102,0.0,0.16169041669088863,0.19
11,7385,NOëL: NOT DiGITAL,PS,1996.0,1.0,80,0.0,0.0,0.9987523388778445,0.049937616943892225,0.21
12,4299,Hyperdimension Neptunia,PS3,2010.0,7.0,105,0.8442825120986698,0.4221412560493349,0.2686353447586677,0.19188238911333405,0.46
13,1459,Lost Planet: Extreme Condition,X360,2006.0,8.0,21,0.9901728723884843,0.03633661917021961,0.09084154792554902,0.09992570271810391,1.34
14,4938,Dawn of Discovery,PC,2009.0,9.0,107,0.0,0.9769000173962618,0.0,0.21369687880543228,0.39
15,3088,Um Jammer Lammy,PS,1998.0,3.0,92,0.2749373586493883,0.18329157243292554,0.9393693087187434,0.09164578621646277,0.66
16,11566,Madden NFL 17,X360,2016.0,10.0,35,0.9733285267845753,0.16222142113076257,0.0,0.16222142113076257,0.08
17,13445,Wayne Gretzky's 3D Hockey '98,PS,1997.0,10.0,42,0.8320502943378437,0.5547001962252291,0.0,0.0,0.05
18,12584,Centipede: Infestation,Wii,2011.0,8.0,12,1.0,0.0,0.0,0.0,0.06
19,14943,The Settlers: Rise of an Empire,PC,2007.0,11.0,107,0.7071067811865476,0.7071067811865476,0.0,0.0,0.02
20,238,Guitar Hero III: Legends of Rock,X360,2007.0,3.0,4,0.9532373721339426,0.27491485340540034,0.002988204928319569,0.1255046069894219,4.53
21,956,The Sims: Hot Date,PC,2001.0,9.0,35,1.0,0.0,0.0,0.0,1.82
22,317,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,3.0,71,0.41256791863598846,0.7445191175385079,0.4979267983537792,0.1659755994512597,3.84
23,8975,Summon Night 5,PSP,2013.0,7.0,69,0.0,0.0,1.0,0.0,0.15
24,11251,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006.0,7.0,105,0.0,0.0,1.0,0.0,0.09
25,5830,Gameboy Gallery,GB,1995.0,3.0,71,0.0,0.0,1.0,0.0,0.3
26,3611,Fatal Fury Special,SNES,1994.0,2.0,102,0.0,0.0,1.0,0.0,0.56
27,696,Tomb Raider II,PC,1997.0,0.0,34,0.5864868033543693,0.8056137408713864,0.0,0.08378382905062418,2.29
28,4,Wii Sports Resort,Wii,2009.0,10.0,71,0.7987593922838354,0.5583708513679383,0.16634481312323682,0.15011605086731128,33.0
29,15007,Tom Clancy's Rainbow Six: Vegas 2,PC,2008.0,8.0,107,0.0,1.0,0.0,0.0,0.02
30,4963,Auto Modellista,PS2,2002.0,6.0,21,0.7686577243595981,0.6068350455470511,0.0,0.20227834851568374,0.39
31,5003,Turok: Evolution,GC,2002.0,8.0,3,0.9657341699694756,0.2575291119918602,0.0,0.03219113899898252,0.38
32,6224,Dynasty Warriors: Gundam,PS2,2008.0,0.0,69,0.0,0.0,1.0,0.0,0.28
33,3779,Jampack Vol. 2,PS,1996.0,3.0,92,0.8291849892341729,0.5527899928227821,0.0,0.0829184989234173,0.53
34,15563,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special,PS3,2015.0,0.0,9,0.0,0.0,1.0,0.0,0.02
35,7416,Cruis'n Exotica,N64,2000.0,6.0,65,0.973417168333576,0.22903933372554727,0.0,0.0,0.21
36,4912,LocoRoco,PSP,2006.0,4.0,92,0.630528288755463,0.2251886745555225,0.7206037585776719,0.18015093964441797,0.39
37,10714,System Flaw,DS,2009.0,8.0,37,0.9938837346736189,0.0,0.0,0.11043152607484656,0.1
38,14516,D.C.I.F.: Da Capo Innocent Finale,PS2,2009.0,1.0,98,0.0,0.0,1.0,0.0,0.03
39,6385,Ratatouille,X360,2007.0,0.0,101,0.9925232596048371,0.08630637040042062,0.0,0.08630637040042062,0.27
40,12081,Dino Master: Dig Discover Duel,DS,2005.0,11.0,59,1.0,0.0,0.0,0.0,0.07
41,9429,RPG Maker II,PS2,2002.0,7.0,38,0.7442084075352506,0.6201736729460423,0.0,0.2480694691784169,0.13
42,14384,Homeworld 2,PC,2003.0,11.0,112,0.0,0.9486832980505139,0.0,0.31622776601683794,0.03
43,8160,Disgaea 4: A Promise Unforgotten,PSV,2014.0,7.0,73,0.39999999999999997,0.39999999999999997,0.7999999999999999,0.19999999999999998,0.18
44,7070,World Series of Poker 2008: Battle for the Bracelets,PS2,2007.0,3.0,4,0.7572712299036657,0.6195855517393628,0.0,0.20652851724645427,0.23
45,5368,Freeway,2600,1980.0,0.0,4,0.9980525784828885,0.06237828615518053,0.0,0.0,0.34
46,1178,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,0.0,95,0.89549168261324,0.2645770880448209,0.3459854228278427,0.09158437663089954,1.58
47,9284,Learn Math,DS,2009.0,5.0,32,0.9970544855015815,0.0,0.0,0.07669649888473704,0.14
49,5704,ExerBeat,Wii,2010.0,10.0,69,0.4805693313322128,0.8650247963979829,0.0,0.14417079939966382,0.31
50,3421,Tales of Zestiria,PS3,2015.0,7.0,69,0.11534708249969795,0.20762474849945628,0.9689154929974627,0.06920824949981877,0.59
51,959,The Evil Within,PS4,2014.0,0.0,17,0.5205617181217937,0.7950397149496485,0.10411234362435874,0.29340751385046554,1.81
52,9277,Houshinengi,PS,1998.0,11.0,105,0.0,0.0,0.9970544855015815,0.07669649888473704,0.14
53,9550,Ty the Tasmanian Tiger 2: Bush Rescue,GBA,2004.0,4.0,35,0.9486832980505139,0.31622776601683794,0.0,0.0,0.13
